review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification
Antwerp Deurne,airport,Michael Newport,2005-08-16,Great airport not many flights so no hassle From check in to take off minutes Car parking also free,0.0,Positive,Positive,Positive,Positive,
Riga,airport,Natalija Argenta,2023-03-24,I was very impressed with the experience at Riga Airport So fast through security and no problems with my Japanese hair sticks which look like weapons on xrays Pleasant staff too which makes a real change Wish I could say the same for UK airports Good range of shops and helpful staff but some of the cafes are very expensive just for coffee and cake Slightly let down by toilets and desolate area C after passport control but generally very impressed compared to some nightmare experiences in the UK,8.0,Positive,Positive,Positive,Positive,
Unknown,General,Anonymous,,guadalajara airport main terminal is quite modern however the check in area seems slightly small for the amount of passengers and airlines checkin queues were not somewhat good we waited just under hour to get through the queue for a delta flight to atlanta there were about or desks open and only one md flight being checked in so it seems as though the service is somewhat inefficient security queues were also somewhat long as well the airport seems to be in urgent need for more contact gates as our plane was on a remote stand and so were many other planes the car park was appalling its obviously far smaller than expected and queues to leave were somewhat long and time consuming you also pay when you get to the end of the queue therefore you end up paying for the minutes that you spend in the queue overall guadalajara airport needs to be expanded quickly,,,,,,
Guayaquil,airport,S Franklin,2016-10-03,Ive flown through this airport several times this year and generally consider it a fairly basic simple nofrills experience Its close to the business areas of Guayaquil and normally transit through migration security etc is quick and painless Not however yesterday the queue for the exit control and security snaked halfway down the terminal building Even allowing hours to pass the controls was not enough time to reach my gate before the plane left This is utterly unacceptable the management company needs to get its act together and provide efficient passenger handling,1.0,Neutral,Positive,Neutral,NEGATIVE,
Lagos,airport,5 reviewsJoern Andre Horaczek,2023-06-04,Traveling through Murtala International airport in Lagos Nigeria is an experience Staff are generally friendly and smiled a lot My documents were repeatedly checked I counted ten checkpoints altogether At five of them I was asked if I would hand over some money They weirdest situation was that the customs officer asked how much money I carry and then after hearing the honest as he was a customs officer answer asked me if I would give him some of it The airport is quite run down and processes are not streamlined Boarding was rather chaotic with passengers placed on different coloured seats after the boarding passes were scanned,2.0,Positive,Positive,Positive,Positive,
Lanzhou,airport,9 reviewsGraeme Bray,2017-08-04,Flew from CKGLHW on Sichuan Airlines a pleasant enough flight We used an airbridge in the older Terminal while the booking hall is now closed the baggage hall and arrivals remain the same for Terminal The high speed railway has been completed so I decided to catch the train to Lanzhou West railway station The train station is a short walk to the left from the exit of Terminal opposite Terminal There was only a short queue for tickets in the Ticket hall to the right of the station entrance about for First class on the very next train Travel time was about minutes All in all it was much better than slow airport bus and taxi options,7.0,Positive,Positive,Neutral,POSITIVE,
Unknown,General,Anonymous,,this review is in regards to the cabin crew for our flight ar on august from montevideo to buenos aires they regularly offer beverages and sandwiches or muffins in premium class the staff closed the curtain and started to eat and drink they did not offer even a glass of water the got the sandwiches that were supposed to be offered to u,,,,,,
Unknown,General,Anonymous,,the onboard service was ordinary and there were long intervals between service food took hours to serve after take off fish dish was overdone out crew took long time to respond to call button when they ignored servings and sometimes did not respond at all no seat cover provided which would have improved seat comfort peculiar provision of slippers more compact for anyone with size standard experience generally,,,,,,
Hainan Airlines,airline,H Anderson,2024-10-29,Reasonably good value airline but expect Chinese cultural expectations Westerners usually like a glass of red wine on a flight to make it easier or relaxing but if you ask for a glass they will give you a ml measure ask for more and they will think you will get drunk This was her words to me in Chinese on the flight Beijing Manchester Main meal food was quite reasonable but dont expect any familiar western snacks like cheese as stated on the menu between service Entertainment system also is mostly useless my headphone sound quality bad and video selection too Bring your own entertainment Transfer in Beijing requires re entry through immigration no seamless transfer The outward leg to china was better than the return the return flight really did feel like all I had to do was sit and watch the plane map while sipping my orange juice,6.0,Neutral,Positive,Negative,NEGATIVE,
Unknown,General,Anonymous,,lousy application that didnt allow me to choose my seats before checkin and that required long loading times and unnecessary checks for each manoeuvre chaotic boarding process with an announcement that boarding would start in twenty minutes only for boarding to start less than five minutes later forcing me to run back through the airport id gone to buy a bottle of water the a was modern and clean with large bright screens and were provided with a plaid and headphones of mediocre quality bring your own as regularly while the seats lack a little comfort and legroom even though im far from being somewhat tall basic tasteless meals deplorable service with a stewardess who seemed to be in a hurry even though it was a longhaul flight in fact she spilled tea all over me as she was trying to go too fast without any real apology and blaming the container when she was clearly at fault rather decent choice of films but no french subtitles on offer its either original voices or french dub its not too bad but its strange all the same music selection of little interest and the same goes for the games some of which are unplayable disembarkation at cdg in buses not necessarily the airlines fault but annoying to have to spend a good ten minutes in a bus after a longhaul flight,,,,,,
